title,dev,pub,plat,date_release,date_certainty,date_fiction,film_relationship,canon_ish,jedi,film_chars,multiplayer,screen,screen_source,screen_source_path,screen_contributed,article_anchor
Star Wars: The Force Unleashed,LucasArts,LucasArts,"Windows,Xbox 360,Wii,PS2,PSP,DS,N-Gage,Mac,iOS",16-09-2008,TRUE,Pre-ANH,intersects,TRUE,TRUE,TRUE,"single, multi",star-wars-the-force-unleashed-ultimate-sith-edition.jpg,MobyGames,http://www.mobygames.com/game/star-wars-the-force-unleashed-ultimate-sith-edition/screenshots,Cheeseness,star-wars-the-force-unleashed
Fierce Twilight,CartoonNetwork,CartoonNetwork,Web,30-09-2008,TRUE,Clone Wars,intersects,TRUE?,FALSE,TRUE,single,,,,,
Star Wars: The Clone Wars: Republic Heroes,Krome Studios,LucasArts,"Windows,Xbox 360,Wii,PS2,PSP,DS",06-10-2008,TRUE,Clone Wars,intersects,TRUE?,TRUE,TRUE,"single, multi",star-wars-the-clone-wars-republic-heroes.jpg,MobyGames,"http://www.mobygames.com/game/windows/star-wars-the-clone-wars-republic-heroes/screenshots/gameShotId,391891/",Cheeseness,
Path of the Jedi,Powerful Robot,CartoonNetwork,Web,10-11-2008,FALSE,Clone Wars,intersects,TRUE?,TRUE,TRUE,single,star-wars-the-clone-wars-path-of-the-jedi.jpg,MobyGames,http://www.mobygames.com/game/browser/star-wars-the-clone-wars-path-of-the-jedi/screenshots,Cheeseness,
Star Wars: The Clone Wars: Jedi Alliance,LucasArts,LucasArts,DS,11-11-2008,TRUE,Clone Wars,intersects,TRUE?,TRUE,TRUE,single,star-wars-the-clone-wars-jedi-alliance.jpg,MobyGames,http://www.mobygames.com/game/star-wars-the-clone-wars-jedi-alliance/screenshots,Cheeseness,
Star Wars: The Clone Wars: Lightsaber Duels,Krome Studios,LucasArts,Wii,11-11-2008,TRUE,Clone Wars,adaptation,TRUE?,TRUE,TRUE,"single, multi",star-wars-the-clone-wars-lightsaber-duels.jpg,Wookieepedia,http://starwars.wikia.com/wiki/File:Finishhim.jpg,Cheeseness,
Star Wars Top Trumps Live!,Winning Moves,Winning Moves,Web,01-05-2009,FALSE,All,independent,FALSE,FALSE,TRUE,single,,,,,
Gunship Over Florrum,StarWars.com,StarWars.com,Web,13-06-2009,TRUE,Clone Wars,independent,TRUE?,FALSE,FALSE?,single,gunship-over-florrum.jpg,Wookieepedia,http://starwars.wikia.com/wiki/File:TCWGoF_screen.jpg,Cheeseness,
Star Wars: Republic Squadron,Jakks Pacific,Jakks Pacific,TV Game,15-06-2009,TRUE,Clone Wars,independent,FALSE?,TRUE?,TRUE,single,,,,,
Swamp Station Sweep,StarWars.com,StarWars.com,Web,15-07-2009,TRUE,Clone Wars,independent,TRUE?,FALSE?,TRUE,single,swamp-station-sweep.jpg,Wookieepedia,http://starwars.wikia.com/wiki/File:TCWSSS_screen.jpg,Cheeseness,
